"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"semitha-dev"," ","User","6","20","semitha-dev/BlockChain-Semitha; semitha-dev/UnforgeAPI","2","https://github.com/semitha-dev"
"shahinsamiur","samiur shahin ","User","1","45","shahinsamiur/OneLittleWeb-_task; shahinsamiur/barikoi_interview_task","2","https://github.com/shahinsamiur"
"Shariarhosain","Md. Shariar Hosain Sanny ","User","10","46","Shariarhosain/BatteryQK-Backend; Shariarhosain/Batteryqk","2","https://github.com/Shariarhosain"
"survos-sites"," ","Organization","1","62","survos-sites/bunny-demo; survos-sites/pokemon","2","https://github.com/survos-sites"
"talhabilal-dev","Muhammad Talha Bilal ","User","0","22","talhabilal-dev/devnest-frontend; talhabilal-dev/postify","2","https://github.com/talhabilal-dev"
"thesongmartins","Song Martins ","User","66","28","thesongmartins/Invoice-Management-App; thesongmartins/Notely","2","https://github.com/thesongmartins"
"Tiewasters99"," ","User","0","56","Tiewasters99/latest_miniverse; Tiewasters99/this_is_the_newest_miniverse","2","https://github.com/Tiewasters99"
"vibhu927"," ","User","0","18","vibhu927/TestAppProject; vibhu927/random-match","2","https://github.com/vibhu927"
"Webminds-designs","WebMinds ","Organization","3","18","Webminds-designs/hq; Webminds-designs/webminds","2","https://github.com/Webminds-designs"
"Zamany11"," ","User","0","7","Zamany11/e-commerce; Zamany11/my-blog","2","https://github.com/Zamany11"
"ZxAYED","Zayed Iqbal ","User","6","61","ZxAYED/echosOfTheMind; ZxAYED/z-consult-frontend","2","https://github.com/ZxAYED"
"17ishan"," ","User","4","36","17ishan/my-portfolio-","1","https://github.com/17ishan"
"aahmedfaraz","Ahmed Faraz ","User","25","112","aahmedfaraz/ai-linkedin-agent","1","https://github.com/aahmedfaraz"
"aamir-786","Aamir Hussain ","User","25","43","aamir-786/silicon-savannah-vested","1","https://github.com/aamir-786"
"Abdul-Moiz31","Abdul Moiz  ","User","53","119","Abdul-Moiz31/QuickStart-ai","1","https://github.com/Abdul-Moiz31"
"AbdullahKhetran","Abdullah Khetran ","User","4","55","AbdullahKhetran/cloudinary-photos-app","1","https://github.com/AbdullahKhetran"
"abdullahzulfiqar653","Abdullah Zulfiqar ","User","6","32","abdullahzulfiqar653/NeuroRsa-Client","1","https://github.com/abdullahzulfiqar653"
"AbdulRehman938","Abdul Rehman ","User","3","37","AbdulRehman938/dice_game","1","https://github.com/AbdulRehman938"
"Abdulsadiqsamadani","samadani ","User","7","8","Abdulsadiqsamadani/Event-identify-web","1","https://github.com/Abdulsadiqsamadani"
"Abhinav-not-found","Abhinav Kumar ","User","2","124","Abhinav-not-found/portfolio","1","https://github.com/Abhinav-not-found"
"AbhishekSharma55","ABHISHEK SHARMA ","User","2","47","AbhishekSharma55/clawgen","1","https://github.com/AbhishekSharma55"
"abusayedwd","Abu Sayed ","User","2","82","abusayedwd/property-rental-serverr","1","https://github.com/abusayedwd"
"AccumulateNetwork","Accumulate Network ","Organization","6","35","AccumulateNetwork/explorer","1","https://github.com/AccumulateNetwork"
"adamsdavee"," ","User","1","84","adamsdavee/RWA-DeFi","1","https://github.com/adamsdavee"
"agentsifyai","Agentsify ","Organization","0","3","agentsifyai/Agentsify.ai-Website-Dev","1","https://github.com/agentsifyai"
"ahfoysal","Abu Hossain Foysal ","User","26","192","ahfoysal/Luxify-Client-Code-MERN","1","https://github.com/ahfoysal"
"ahmadali507","Ahmad Ali ","User","11","24","ahmadali507/Shocodoc","1","https://github.com/ahmadali507"
"AhmedHashem2104","Ahmed Hashem ","User","8","54","AhmedHashem2104/pokemon-assessment-daftra","1","https://github.com/AhmedHashem2104"
"AI-coderss","DSAH CODE REPO ","User","1","28","AI-coderss/MedicalTranscription_Version2","1","https://github.com/AI-coderss"
"airaamane","Abdellah Iraamane ","User","4","18","airaamane/englishm8","1","https://github.com/airaamane"
"akhlaqahmad","Akhlaq Ahmad ","User","16","48","akhlaqahmad/nextjs-app-template","1","https://github.com/akhlaqahmad"
"Akinz-bobo","Akinola ","User","13","64","Akinz-bobo/nuxt-project","1","https://github.com/Akinz-bobo"
"ali44ashhad"," ","User","0","53","ali44ashhad/contractror-frontend","1","https://github.com/ali44ashhad"
"Ali7040","Ali Haider ","User","94","72","Ali7040/TaskFlow","1","https://github.com/Ali7040"
"AliHaider3820"," ","User","0","16","AliHaider3820/AAA_SD_FYP","1","https://github.com/AliHaider3820"
"Aliraza1125","Ali Raza ","User","5","70","Aliraza1125/blue-sky","1","https://github.com/Aliraza1125"
"Am4n-Ull4h","Aman Ullah ","User","3","25","Am4n-Ull4h/MyBaby6D_NextJS_Project","1","https://github.com/Am4n-Ull4h"
"Amaanmohammad2000","Syed Amaan Mohammad ","User","3","26","Amaanmohammad2000/Node_js_Assignment-7","1","https://github.com/Amaanmohammad2000"
"Ameer-Hamza289","Ameer Hamza ","User","34","74","Ameer-Hamza289/AI_Rate_My_Professor","1","https://github.com/Ameer-Hamza289"
"ammarbinshakir","Ammar Bin Shakir ","User","5","24","ammarbinshakir/typescript-backend-toolkit","1","https://github.com/ammarbinshakir"
"Anant-WebDev","Anant ","Organization","4","1","Anant-WebDev/anant_webapp","1","https://github.com/Anant-WebDev"
"Anasibnyounis","Muhammad Anas ","User","4","7","Anasibnyounis/complete-staffing-solution","1","https://github.com/Anasibnyounis"
"Andrew99xx","indranil chakraborty ","User","2","50","Andrew99xx/astro-demo","1","https://github.com/Andrew99xx"
"aniketnedunuri1"," ","User","0","10","aniketnedunuri1/rls-auth","1","https://github.com/aniketnedunuri1"
"anoexpected","Anotida Expected ","User","11","27","anoexpected/stem-hub","1","https://github.com/anoexpected"
"Anonymous-hss","Harshal Sawatkar ","User","19","92","Anonymous-hss/next-auth","1","https://github.com/Anonymous-hss"
"Anshukk687"," ","User","0","14","Anshukk687/Sanity-nextJS-project","1","https://github.com/Anshukk687"
"Aplftltbox"," ","User","0","1","Aplftltbox/Vbg2","1","https://github.com/Aplftltbox"
"arifbiswas","Arif Biswas ","User","10","110","arifbiswas/react-native","1","https://github.com/arifbiswas"
"ARMANANS1218","ARMAN ANSARI ","User","9","73","ARMANANS1218/hirrd-job-portal","1","https://github.com/ARMANANS1218"
"armeleger","armel ","User","6","28","armeleger/kayko_status_dashboard","1","https://github.com/armeleger"
"arpit01923","Arpit ","User","6","25","arpit01923/inventory-management-backend","1","https://github.com/arpit01923"
"arslan578","Rana Arslan Zaheer ","User","9","65","arslan578/agency-portal","1","https://github.com/arslan578"
"asimrasheed533","Asim Rasheed ","User","10","18","asimrasheed533/fastly-repair","1","https://github.com/asimrasheed533"
"AslanovRustam","Aslanov Rustam ","User","5","139","AslanovRustam/games-tournament","1","https://github.com/AslanovRustam"
"atik735","Atik Hassan ","User","2","54","atik735/Next.Js-Tutorials","1","https://github.com/atik735"
"Atizaz-dev"," ","User","0","23","Atizaz-dev/starter-app","1","https://github.com/Atizaz-dev"
"avishek999","Avishek Prasad ","User","10","35","avishek999/ai-review-code-nextjs","1","https://github.com/avishek999"
"ayon7544","Ayon Ghosh ","User","9","18","ayon7544/nest_production","1","https://github.com/ayon7544"
"AyshaUrmi0","Aysha Urmi ","User","18","78","AyshaUrmi0/Dev-question","1","https://github.com/AyshaUrmi0"
"ayushjain27","Ayush Jain ","User","9","56","ayushjain27/inotebook","1","https://github.com/ayushjain27"
"azimuddin2","MD. AZIM UDDIN ","User","1","100","azimuddin2/stationery-shop-backend","1","https://github.com/azimuddin2"
"azizul-haque-dev","Azizul Haque ","User","3","32","azizul-haque-dev/ic-blog-app","1","https://github.com/azizul-haque-dev"
"bajrang-gaxon","Bajrang ","User","1","2","bajrang-gaxon/shadcn-canry","1","https://github.com/bajrang-gaxon"
"bdshakhawat","Md. Shakhawat Hossain ","User","9","96","bdshakhawat/book-shop-frontend","1","https://github.com/bdshakhawat"
"begouravdev"," ","User","1","21","begouravdev/web-shopping-site","1","https://github.com/begouravdev"
"belladev250"," Bella Melissa ","User","11","64","belladev250/Aegis-Web","1","https://github.com/belladev250"
"Betech-JSC","Betech ","Organization","1","22","Betech-JSC/bed_happybook_client","1","https://github.com/Betech-JSC"
"bhaveshkumbhani0070","Bhavesh Kumbhani  ","User","3","60","bhaveshkumbhani0070/string-calculator","1","https://github.com/bhaveshkumbhani0070"
"bhavin002"," ","User","5","38","bhavin002/shadcn-flipbook","1","https://github.com/bhavin002"
"BlackBlossom","Arpit Srivastava ","User","3","22","BlackBlossom/whatsapp-faq-bot","1","https://github.com/BlackBlossom"
"Bodemola123","Benjamin ","User","3","32","Bodemola123/Voyex-landing","1","https://github.com/Bodemola123"
"brainstems","Intellex AI Protocol (Formerly Brainstems) ","Organization","12","27","brainstems/marketplace-model-share-portal","1","https://github.com/brainstems"
"brodynelly","Brody Nelson ","User","2","30","brodynelly/mizzou-health-care-dashboard","1","https://github.com/brodynelly"
"BrookGT","Biruk Gebisa ","User","2","25","BrookGT/fittrack-monorepo","1","https://github.com/BrookGT"
"brysonandrew","Andrew Bryson ","User","14","48","brysonandrew/skyfacture","1","https://github.com/brysonandrew"
"BU-Trace","BU Trace ","Organization","1","1","BU-Trace/UniversityBusTransportSystem","1","https://github.com/BU-Trace"
"bunyaminbolukbas","Bunyamin ","User","1","8","bunyaminbolukbas/vue-portfolio","1","https://github.com/bunyaminbolukbas"
"C3Techie","CHRISTIAN CHIBUZOR CHIBUIKE ","User","4","80","C3Techie/micro-service-notification-system","1","https://github.com/C3Techie"
"canotalois"," ","User","5","21","canotalois/area","1","https://github.com/canotalois"
"Charles-Abasimfon","Charles Abasimfon ","User","8","23","Charles-Abasimfon/fyn-the-fox-web","1","https://github.com/Charles-Abasimfon"
"Chimee"," ","User","0","13","Chimee/empire-coach-frontend","1","https://github.com/Chimee"
"chinedu16","Ohagwu Chinedu ","User","17","49","chinedu16/face-azure-liveness","1","https://github.com/chinedu16"
"ChristianRukundo"," ","User","8","55","ChristianRukundo/NE-react-native","1","https://github.com/ChristianRukundo"
"CodeWithUmair","Umair Amir ","User","10","51","CodeWithUmair/link-saas","1","https://github.com/CodeWithUmair"
"CodingSabbir","Sabbir Rahman ","User","0","119","CodingSabbir/steadfast-dashbord","1","https://github.com/CodingSabbir"
"Computadores-Para-Todos"," ","Organization","0","2","Computadores-Para-Todos/computers-4-all-manager","1","https://github.com/Computadores-Para-Todos"
"costa-tech","Himsara De Costa ","User","2","16","costa-tech/Codveda-Task-2-3","1","https://github.com/costa-tech"
"danielcashion","Daniel Cashion ","User","13","19","danielcashion/CollegeAthleteNetwork","1","https://github.com/danielcashion"
"DarioKolic","Dario Kolic ","User","5","22","DarioKolic/dario-kolic-v2","1","https://github.com/DarioKolic"
"Dawit212119","Dawit Workye ","User","4","67","Dawit212119/portfolio","1","https://github.com/Dawit212119"
"DbHridoy","Md Nur Alam ","User","4","51","DbHridoy/Easyrenting","1","https://github.com/DbHridoy"
"Deepsoni5","Deep soni ","User","5","59","Deepsoni5/kucash","1","https://github.com/Deepsoni5"
"Delower-Hasan","Delower Hasan ","User","9","58","Delower-Hasan/node-express-template","1","https://github.com/Delower-Hasan"
"delwar-bscse","Md. Delwar Hossain ","User","3","53","delwar-bscse/startup-website","1","https://github.com/delwar-bscse"
"Derrick99234","Derrick ","User","8","59","Derrick99234/Church-Workflow","1","https://github.com/Derrick99234"
"Devanshi-4831"," ","User","0","12","Devanshi-4831/mern_blog","1","https://github.com/Devanshi-4831"
"developerDesinger"," ","User","0","16","developerDesinger/pryve-dashboard","1","https://github.com/developerDesinger"
"devesh-2004","Devesh Purohit ","User","6","19","devesh-2004/Clone","1","https://github.com/devesh-2004"
"devtag2026"," ","User","0","35","devtag2026/AimDiscover-FrontEnd","1","https://github.com/devtag2026"
"DevWizardHQ","DevWizard ","Organization","9","16","DevWizardHQ/laravel-react-permissions","1","https://github.com/DevWizardHQ"
"devxankit","Ankit Ahirwar  ","User","1","22","devxankit/neargud","1","https://github.com/devxankit"
"dineshkuma1234","Nikhil kumar ","User","1","17","dineshkuma1234/Gimmel","1","https://github.com/dineshkuma1234"
"Dixon282005","Ramos Soto Dixon Arturo ","User","2","16","Dixon282005/Cifrax","1","https://github.com/Dixon282005"
"drewroberts","Drew Roberts ","User","276","58","drewroberts/website","1","https://github.com/drewroberts"
"duythong28","Dao Duy Thong ","User","2","8","duythong28/connect-career-be","1","https://github.com/duythong28"
"ecc97","Edwin Carmona ","User","15","64","ecc97/cobra-tu","1","https://github.com/ecc97"
"emanuelscott"," ","User","0","2","emanuelscott/fites","1","https://github.com/emanuelscott"
"Emmanuelombaye"," ","User","0","54","Emmanuelombaye/alexiantwebsite","1","https://github.com/Emmanuelombaye"
"EspiSebas","Sebastian Espinosa Soto ","User","1","23","EspiSebas/TaskManager","1","https://github.com/EspiSebas"
"Eternity0207","MANI ","User","2","25","Eternity0207/TAC-Web","1","https://github.com/Eternity0207"
"faaizmahmood","Faaiz Mahmood ","User","18","25","faaizmahmood/eduwise-backend","1","https://github.com/faaizmahmood"
"fahadali503","Fahad Ali ","User","2","25","fahadali503/react-email-templates","1","https://github.com/fahadali503"
"Faitorxd","Walter Yesid Otero  ","User","1","22","Faitorxd/Dashboard_clima","1","https://github.com/Faitorxd"
"faizansafwan","Faizan Safwan ","User","0","35","faizansafwan/hotel-website","1","https://github.com/faizansafwan"
"farhan-khan259","Muhammad Farhan ","User","4","39","farhan-khan259/metadrivebackend","1","https://github.com/farhan-khan259"
"Farhanasharna2000","Farhana Akter Sharna  ","User","5","80","Farhanasharna2000/DeshTender","1","https://github.com/Farhanasharna2000"
"FyslAhmd","Faysal Ahmad Patwary ","User","3","73","FyslAhmd/nexus-admin-frontend","1","https://github.com/FyslAhmd"
"gocharli"," ","User","0","5","gocharli/ahsanTasks","1","https://github.com/gocharli"
"Guischk","Guiz ","User","3","8","Guischk/Airboost-next","1","https://github.com/Guischk"
"hacksultan","Hack ","User","33","6","hacksultan/opentemplates","1","https://github.com/hacksultan"
"HAFEEZAH029","Hafeezah Kadiri ","User","0","17","HAFEEZAH029/audiommerce","1","https://github.com/HAFEEZAH029"
"haloivanid","Ivan Azis ","User","18","13","haloivanid/monorepo","1","https://github.com/haloivanid"
"hammad872","Hammad Siddiq ","User","1","13","hammad872/review","1","https://github.com/hammad872"
"harshPandey0911","Harsh Pandey ","User","0","20","harshPandey0911/student_education","1","https://github.com/harshPandey0911"
"HasanAlif","Al-Mehedi Hasan Alif ","User","3","41","HasanAlif/Learning_Practice_JavaScript","1","https://github.com/HasanAlif"
"HassanAbbas10","Hassan Abbas ","User","23","55","HassanAbbas10/Nature","1","https://github.com/HassanAbbas10"
"heamlk","Mehdi ABDERRAZAK ","User","0","21","heamlk/Photography-Websites","1","https://github.com/heamlk"
"HimanshuJain04","Himanshu ","User","49","62","HimanshuJain04/portfolio-2.0","1","https://github.com/HimanshuJain04"
"hssn08","Hassan Abbas ","User","2","25","hssn08/vici2","1","https://github.com/hssn08"
"hubertit","Hubert IT ","User","38","26","hubertit/milliondollarbot","1","https://github.com/hubertit"
"Huzaifagit1","Huzaifa ","User","0","30","Huzaifagit1/wunder-power","1","https://github.com/Huzaifagit1"
"iamnasirudeen","Nasirudeen Olohundare ","User","50","119","iamnasirudeen/E-wallet","1","https://github.com/iamnasirudeen"
"ibrahimraimi","Morningstar ","User","506","88","ibrahimraimi/tobika","1","https://github.com/ibrahimraimi"
"ifshad","Ifshad Hasan Sharan ","User","10","31","ifshad/shadcn-practise","1","https://github.com/ifshad"
"iftekhar2979","Iftekhar Salmin Rashid ","User","3","62","iftekhar2979/Knitting_Client","1","https://github.com/iftekhar2979"
"ILhankhondaker","Ilhan Khondaker  ","User","26","116","ILhankhondaker/todo","1","https://github.com/ILhankhondaker"
"imrancs058","Imran Afzal ","User","11","42","imrancs058/todofrontend","1","https://github.com/imrancs058"
"inaumanmajeed","Nauman Majeed ","User","1","56","inaumanmajeed/CryptoNextjs","1","https://github.com/inaumanmajeed"
"ishimwejeanluc","Ishimwe Jean Luc ","User","14","55","ishimwejeanluc/EventStreamingSystem","1","https://github.com/ishimwejeanluc"
"IslamSolimanInnowise"," ","User","0","9","IslamSolimanInnowise/next-crud","1","https://github.com/IslamSolimanInnowise"
"Iteam-company","Iteam ","Organization","3","10","Iteam-company/restaurant-rn-app","1","https://github.com/Iteam-company"
"Jahan-Shah","Shah Jahan ","User","14","45","Jahan-Shah/draw-doodle","1","https://github.com/Jahan-Shah"
