"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"krishprav","krishprav ","User","8","70","krishprav/Appointment-Booking-System; krishprav/Interview; krishprav/Watch2Gas; krishprav/codereview; krishprav/cricket; krishprav/cricket-app; krishprav/flexprice-front; krishprav/saasblitz; krishprav/task-manager; krishprav/therapport-practice","10","https://github.com/krishprav"
"mdimamhosen","Imam Hosen ","User","17","158","mdimamhosen/BU-Bus-Schedule-Server; mdimamhosen/Babel; mdimamhosen/Care2-Training-Consultancy; mdimamhosen/PH-L-2; mdimamhosen/ShoperyBackend; mdimamhosen/SupportIQ; mdimamhosen/Teacher-s-Center; mdimamhosen/VisaVibe-Server; mdimamhosen/bublog; mdimamhosen/realstate","10","https://github.com/mdimamhosen"
"MehfoozurRehman","Mehfooz-ur-Rehman ","User","19","100","MehfoozurRehman/Ecomerce; MehfoozurRehman/PDF-vision; MehfoozurRehman/content-strategies; MehfoozurRehman/dashboard-electromart; MehfoozurRehman/devscot-agency; MehfoozurRehman/notes; MehfoozurRehman/pos-admin; MehfoozurRehman/pos-app; MehfoozurRehman/vka-sample-fulfillment-form; MehfoozurRehman/vka-sample-fulfillment-system","10","https://github.com/MehfoozurRehman"
"Mubin33","MD. Yasin Arafat Mubin ","User","3","60","Mubin33/b10assignment4th; Mubin33/beyond-ai-demo; Mubin33/beyondai; Mubin33/beyondai_landing; Mubin33/developement-building; Mubin33/focus-place-micro-job-server-side; Mubin33/next.js-assignment; Mubin33/pk-holdings; Mubin33/python-authentication; Mubin33/python-curd","10","https://github.com/Mubin33"
"AryanPathak0421","Aryan Pathak ","User","14","51","AryanPathak0421/Book_Store_Backend; AryanPathak0421/Closh; AryanPathak0421/Flipr_Assisgnment; AryanPathak0421/My-First-Next.js_Project-Blog-App; AryanPathak0421/UC-Wed; AryanPathak0421/User-Module-Wedding-Planner-App; AryanPathak0421/Utsav-Chakra-New; AryanPathak0421/Wed-Me-Good; AryanPathak0421/flipr_Assisgnment.io","9","https://github.com/AryanPathak0421"
"Bragadeesh16","bragadeeshwaran ","User","1","36","Bragadeesh16/Bragadeesh16; Bragadeesh16/DSA; Bragadeesh16/Healthcare-Backend; Bragadeesh16/Quizapp; Bragadeesh16/byepo-assignment; Bragadeesh16/chat-application; Bragadeesh16/resume-api; Bragadeesh16/scrap-crypto-coin-data; Bragadeesh16/todo-api","9","https://github.com/Bragadeesh16"
"DammyCodes-all","Olagunju Alameen Olasubomi ","User","15","53","DammyCodes-all/Team-Apex-Cavista; DammyCodes-all/audiophile-e-commerce; DammyCodes-all/expense_tracker_mobile; DammyCodes-all/hng-i14-backend; DammyCodes-all/mojito-gsap-landingpage; DammyCodes-all/nexttutorial; DammyCodes-all/recyclog-next; DammyCodes-all/shadow-save-bot; DammyCodes-all/tour_app","9","https://github.com/DammyCodes-all"
"DevIbrahim07","MUHAMMAD IBRAHIM ","User","1","39","DevIbrahim07/PythonLabs; DevIbrahim07/angular-todoapp; DevIbrahim07/angular-weather-app; DevIbrahim07/endless_invo_task; DevIbrahim07/musicacademy; DevIbrahim07/ngrx-angular; DevIbrahim07/ngrx-effects; DevIbrahim07/patient-caregiver-dashboard; DevIbrahim07/prismapractice","9","https://github.com/DevIbrahim07"
"fahad-khan11","fahad farman ","User","1","45","fahad-khan11/Health; fahad-khan11/aerona-fyp-fe; fahad-khan11/agency-website; fahad-khan11/auth-app-with-nestjs-api; fahad-khan11/book-app-backend-node-js; fahad-khan11/fahad-Portfolio; fahad-khan11/image-generate-SaaS_App-using-Next-Mern-; fahad-khan11/ml-fe; fahad-khan11/webrtc","9","https://github.com/fahad-khan11"
"HasanAlif","Al-Mehedi Hasan Alif ","User","3","41","HasanAlif/Blog_App-NestJs-NextJs-; HasanAlif/InitialSetup-With-Auth-Prisma-and-Postgress; HasanAlif/Learning_Practice_JavaScript; HasanAlif/MediCurePoint-Backend-Personal-Project; HasanAlif/My-Portfolio; HasanAlif/Personal_Portfolio; HasanAlif/Practice_NestJs; HasanAlif/Simplified-Version-Of-Google-Docs; HasanAlif/Task_Management_System-NestJs-NextJs-","9","https://github.com/HasanAlif"
